TEAM,ARENA,ADDRESS,LAT,LON,TOTAL_2025,TOTAL_2024,TOTAL_2023,TOTAL_2022,TOTAL_2021,TOTAL_2020,TOTAL_2019,TOTAL_2018,TOTAL_2017,TOTAL_2016
76ers,Xfinity Mobile Arena,"3601 S Broad St, Philadelphia, PA 19148",39.9012,-75.1719,813621,821714,839261,846867,68583,639491,838092,833503,710557,610121
Bucks,Fiserv Forum,"1111 Vel R. Phillips Ave, Milwaukee, WI 53203",43.0451,-87.9172,732014,740885,718786,715581,64780,549036,721692,685303,648952,621808
Bulls,United Center,"1901 W Madison St, Chicago, IL 60612",41.8807,-87.6742,825659,845620,841632,856148,13655,639352,823475,851824,888882,894659
Cavaliers,Rocket Arena,"1 Center Ct, Cleveland, OH 44115",41.4965,-81.6882,796712,793167,777280,758228,91476,623576,793337,843042,843042,843042
Celtics,TD Garden,"100 Legends Way, Boston, MA 02114",42.3663,-71.0622,785396,785396,766240,766240,30067,610864,763584,744960,760690,749076
Clippers,Intuit Dome,"3930 W Century Blvd, Inglewood, CA 90303",33.943813,-118.342621,679220,776782,720543,694005,13901,610176,710327,697812,782609,786910
Grizzlies,FedExForum,"191 Beale St, Memphis, TN 38103",35.138232,-90.050583,683067,681875,707836,646785,61449,523297,607564,653863,677314,684603
Hawks,State Farm Arena,"1 State Farm Dr, Atlanta, GA 30303",33.757247,-84.396371,657613,696418,719787,672742,59288,545453,628440,590769,654306,690150
Heat,Kaseya Center,"601 Biscayne Blvd, Miami, FL 33132",25.781401,-80.186969,808337,809743,807190,804761,0,629771,805264,785250,805400,809350
Hornets,Spectrum Center,"333 E Trade St, Charlotte, NC 28202",35.225103,-80.839225,703935,674400,702052,700755,68255,478591,676570,671404,710643,716894
Jazz,Delta Center,"301 W South Temple, Salt Lake City, UT 84101",40.768272,-111.901047,745175,746446,728240,750546,151300,567486,750546,734806,806605,791489
Kings,Golden 1 Center,"500 David J Stern Walk, Sacramento, CA 95814",38.580286,-121.499699,679565,735015,715491,577583,0,520663,700975,649571,721928,707526
Lakers,Crypto.com Arena,"1111 S Figueroa St, Los Angeles, CA 90015",34.043017,-118.267254,767626,793945,763168,764631,23313,588907,778877,776327,776917,778877
Magic,Kia Center,"400 W Church St, Orlando, FL 32801",28.53917,-81.38394,762121,773939,728405,622881,130712,529870,720024,715728,727875,719275
Mavericks,American Airlines Center,"2500 Victory Ave, Dallas, TX 75219",32.790481,-96.810349,803174,828897,827282,809315,94849,682096,820569,811453,811366,825901
Nets,Barclays Center,"620 Atlantic Ave, Brooklyn, NY 11217",40.68265,-73.975399,713304,720291,724439,711539,30491,524907,612597,622278,632608,620142
Nuggets,Ball Arena,"1000 Chopper Cir, Denver, CO 80204",39.748653,-105.007776,811211,807062,788635,695262,54554,633153,756457,702796,605585,577898
NY Knicks,Madison Square Garden,"4 Pennsylvania Plaza, New York, NY 10001",40.750504,-73.993439,811794,808885,795110,763484,42131,620789,779087,792608,810741,812292
Pacers,Gainbridge Fieldhouse,"125 S Pennsylvania St, Indianapolis, IN 46204",39.764061,-86.155572,685434,677554,641562,588743,0,529002,689310,658119,684578,690733
Pelicans,Smoothie King Center,"1501 Dave Dixon Dr, New Orleans, LA 70113",29.94903,-90.08152,689400,692054,687691,635941,93120,528172,656183,673920,663099,688549
Pistons,Little Caesars Arena,"2645 Woodward Ave, Detroit, MI 48201",42.341046,-83.055535,781929,726378,759715,663556,14250,509463,675963,713945,655141,677138
Raptors,Scotiabank Arena,"40 Bay St, Toronto, ON M5J 2X2, Canada",43.643466,-79.379098,768573,800129,811261,547343,26024,633456,812822,813431,813050,812863
Rockets,Toyota Center,"1510 Polk St, Houston, TX 77002",29.750843,-95.362127,716853,720045,668865,638977,117009,578458,740392,716008,695903,737244
Spurs,Frost Bank Center,"1 Frost Bank Center Dr, San Antonio, TX 78219",29.42703,-98.4375,731474,742522,694434,615588,61053,550515,750616,754562,755347,756445
Suns,PHX Arena,"201 E Jefferson St, Phoenix, AZ 85004",33.445712,-112.071306,699911,699911,682840,679252,104027,550633,627023,674655,708639,701405
Thunder,Paycom Center,"100 W Reno Ave, Oklahoma City, OK 73102",35.463421,-97.515068,754832,715509,636903,595112,0,600699,746323,746323,746323,746323
Timberwolves,Target Center,"600 N 1st Ave, Minneapolis, MN 55403",44.97953,-93.27606,772249,738984,687510,657148,15774,482112,627543,699308,607203,581178
Trail Blazers,Moda Center,"1 N Center Ct St, Portland, OR 97227",45.531567,-122.666841,719369,751395,767374,705608,7756,608634,799345,795328,792029,794085
Warriors,Chase Center,"1 Warriors Way, San Francisco, CA 94158",37.76802,-122.38703,740624,740624,740624,740624,33457,614176,803436,803436,803436,803436
Wizards,Capital One Arena,"601 F St NW, Washington, DC 20004",38.898126,-77.020911,663691,692851,710481,637215,21331,532702,716996,718946,697107,725426
